cat_A,cat_B,date,num_1,num_2,num_3,num_4,chr_1,chr_2,chr_3,chr_4
Alabama,B,2023-03-01,0.667827927041799,0.13039117725566,0.827280063182116,0.0410174638964236,h,p,i,u
Alabama,B,2022-10-18,0.52446603262797,0.633340745931491,0.294695154996589,0.136461821151897,s,o,h,a
Alaska,A,2023-03-20,0.420737403910607,0.240851788083091,0.449041295098141,0.214042324572802,n,g,l,n
Arkansas,B,2023-08-07,0.598610508954153,0.115641430951655,0.463223451981321,0.998113749781623,c,p,r,b
Alaska,B,2022-12-07,0.184487659484148,0.611641654046252,0.671341067180038,0.0669929205905646,e,y,b,p
California,A,2023-07-22,0.896130942041054,0.369590062648058,0.691196240717545,0.223690868122503,f,e,f,o
Arkansas,C,2023-04-03,0.258188350358978,0.521939940284938,0.198080315254629,0.465005123987794,x,n,v,h
California,B,2022-11-27,0.445441796211526,0.488623172277585,0.334796385606751,0.555283348774537,l,q,h,d
California,C,2023-09-10,0.441018787678331,0.75774360797368,0.381614865968004,0.964338253252208,j,m,s,a
Alaska,C,2022-10-05,0.977485279086977,0.950386364012957,0.111413981299847,0.997185422340408,z,x,s,f
